CHANNEL_NAME,SKU_NAME,MODEL_DESC,COEFFICENT,COEFF_CHECK_FLAG,PRIORITY,VOL_CHANGE,PRICE_CHANGE,ELASTICITY,MODEL_NAME,MAPE_PERC_TEST,MAPE_PERC_TRAIN,R2_OVERALL,R2_TEST,R2_TRAIN,P1_MIN,P1_MAX,P2_MIN,P2_MAX,PE_RANGE_CHECK_1,PE_RANGE_CHECK_2,PE_RANGE_CHECK_OVERALL,PROXY_SKU,FINAL_PE,PROXY_SOURCE,FINAL_PE_SOURCE
MT,ADES TETRAPACK NR 946,_prices_covid_4_comp_var_temp_max_bc_inflation_wt_price_,"","",2,-0.006671,0.008932,-0.746865,nprophet,1.2529956382127898,1.397661799831688,0.8478799483535924,0.30867857220620687,0.840969282543306,-1.0,-0.5,-1.5,-0.5,1,2,1,"",-0.746865,"",PVP
MT,BRISA BOLSA DE PLASTICO NR 6000,_prices_covid_4_comp_var_temp_max_bc_inflation_ms_price_,"","",1,0.016433,-0.009063,-1.813197,nprophet,0.7570906755938247,0.9442986996839381,0.9981079557505167,0.2537975323126008,0.9982692129089444,-2.5,-1.5,-3.5,-1.5,1,2,1,"",-1.813197,"",PVP
MT,BRISA CON GAS PET NR 600,_prices_covid_4_comp_var_precipitation_bc_gdp_ms_price_,"","",7,0.010176,-0.009391,-1.083591,nprophet,7.778996412937348,2.2860037306169136,0.9915986597911274,-14.871057698244693,0.9963654189956089,-1.5,-1.0,-2.0,-1.0,1,2,1,"",-1.083591,"",PVP
MT,BRISA PET NR 1000,_prices_covid_4_comp_var_bc_inflation_ms_price_,"","",13,0.019884,-0.011198,-1.775674,fbprophet,2.482337776724635,0.8067209390705458,0.997473963313782,-3.820669843667172,0.9987794661519611,-2.5,-1.5,-3.5,-1.5,1,2,1,"",-1.775674,"",PVP
MT,BRISA PET NR 280,_prices_covid_4_comp_var_coverage_gdp_ms_price_,"","",35,0.010543,-0.009728,-1.083779,nprophet,1.1060956670594755,1.3722832505395213,0.9962263963908387,-1.635517454687553,0.9966173479320414,-1.5,-1.0,-2.0,-1.0,1,2,1,"",-1.083779,"",PVP
MT,BRISA PET NR 3000,_prices_covid_4_comp_var_bc_gdp_ms_price_,"","",15,-0.014989,0.008742,-1.714596,nprophet,3.937725144191754,2.1582278006186093,0.9913812583888644,-16.77700212281506,0.9938406473793484,-2.5,-1.5,-3.5,-1.5,1,2,1,"",-1.714596,"",PVP
MT,BRISA PET NR 600,_prices_covid_4_comp_var_precipitation_bc_ms_price_,[-1.234317 0.429559 -0.200408 0.264102 2.66809 0.006267],1.0,19,"","",-1.234317,mvr,2.202580329051223,45.8180620975545,0.9809580785931244,-1.5916084743373453,0.9799707899975039,-1.5,-1.0,-2.0,-1.0,1,2,1,"",-1.234317,"",PVP
MT,BRISA PET NR 6000,_prices_covid_4_comp_var_temp_max_bc_gdp_,"","",11,0.053782,-0.024381,-2.205898,fbprophet,1.4604629482517395,0.6802418666347274,0.9986364257452501,-0.5454793821627106,0.9991246771666817,-2.5,-1.5,-3.5,-1.5,1,2,1,"",-2.205898,"",PVP
MT,BRISA SABORIZADA PET NR 1500,_prices_covid_4_comp_var_bc_gdp_ms_price_,"","",15,0.020233,-0.012516,-1.616571,nprophet,1.1054985482370387,1.4662577700969788,0.9957236740829808,-0.23243259886774315,0.9961921809476024,-2.5,-1.5,-3.5,-1.5,1,2,1,"",-1.616571,"",PVP
MT,BRISA SABORIZADA PET NR 280,_prices_covid_4_comp_var_precipitation_bc_wt_price_,"","",20,0.014977,-0.013338,-1.122882,nprophet,1.891620703152685,1.3375677668606862,0.9996449115892752,-3.72699846349896,0.9996293348667151,-1.5,-1.0,-2.0,-1.0,1,2,1,"",-1.122882,"",PVP
