Channel,PPG,CATEGORY,SUB_CATEGORY,MARCA_REVISED_UPD,PPG_PE,VTM_RATIO,NET_PE
MT,ADES TETRAPACK NR 946,NCBs,BEBIDAS VEGETALES,ADES,-0.944054,1.0,-0.944054
MT,BRISA BOLSA DE PLASTICO NR 6000,AGUA,AGUA Sin Gas,BRISA,-2.203166,1.0,-2.203166
MT,BRISA CON GAS PET NR 600,AGUA,AGUA Con Gas,BRISA CON GAS,-1.221509,0.81763,-0.998742
MT,BRISA PET NR 1000,AGUA,AGUA Sin Gas,BRISA,-1.729586,0.91042,-1.57465
MT,BRISA PET NR 280,AGUA,AGUA Sin Gas,BRISA,-1.070862,0.09626,-0.103081
MT,BRISA PET NR 3000,AGUA,AGUA Sin Gas,BRISA,-1.668322,0.34361,-0.573252
MT,BRISA PET NR 600,AGUA,AGUA Sin Gas,BRISA,-1.057937,0.83606,-0.884499
MT,BRISA SABORIZADA PET NR 1500,AGUA,AGUA SABORIZADA,BRISA SABORIZADA,-1.715615,0.36453,-0.625393
MT,BRISA SABORIZADA PET NR 600,AGUA,AGUA SABORIZADA,BRISA SABORIZADA,-1.185511,0.86884,-1.030019
MT,COCA-COLA ALUMINIO NR 235,CSDs,COLAS,COCA-COLA,-0.641408,1.0,-0.641408
MT,COCA-COLA PET NR 1500,CSDs,COLAS,COCA-COLA,-2.321871,0.76705,-1.780991
MT,COCA-COLA PET NR 250,CSDs,COLAS,COCA-COLA,-0.878694,0.99313,-0.872657
MT,COCA-COLA PET NR 2500,CSDs,COLAS,COCA-COLA,-1.829327,0.99113,-1.813101
MT,COCA-COLA PET NR 3000,CSDs,COLAS,COCA-COLA,-2.277866,0.97309,-2.216569
MT,COCA-COLA PET NR 400,CSDs,COLAS,COCA-COLA,-0.677538,0.93029,-0.630307
MT,COCA-COLA PET NR 600,CSDs,COLAS,COCA-COLA,-0.814197,0.99241,-0.808017
MT,COCA-COLA SIN AZUCAR PET NR 1500,CSDs,COLAS,Coca-Cola Sin Azucar,-1.7615,0.97638,-1.719893
MT,COCA-COLA SIN AZUCAR PET NR 1750,CSDs,COLAS,Coca-Cola Sin Azucar,-1.111884,0.99925,-1.11105
MT,COCA-COLA SIN AZUCAR PET NR 200,CSDs,COLAS,Coca-Cola Sin Azucar,-0.659864,1.0,-0.659864
MT,COCA-COLA SIN AZUCAR PET NR 2500,CSDs,COLAS,Coca-Cola Sin Azucar,-2.052646,1.00001,-2.052667
MT,COCA-COLA SIN AZUCAR PET NR 3000,CSDs,COLAS,Coca-Cola Sin Azucar,-2.125598,0.98991,-2.104151
MT,COCA-COLA SIN AZUCAR PET NR 400,CSDs,COLAS,Coca-Cola Sin Azucar,-0.56932,0.97827,-0.556949
